,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,reviewLink
55, 4 May 2018,empReview_20437376,Former Employee - Test Engineering Analyst,I worked at Accenture full-time (More than 3 years),Good Organisation,Good Work Culture and Work Life Balance,"Politics at Managers Level, Favourism for opportunities.",None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20437376.htm
56, 3 May 2018,empReview_20419695,Current Employee - Customer Relations Associate,I have been working at Accenture full-time (More than 8 years),Accenture is like a Banyan tree where people get shade,Respect honest Helping tendency and secured place to work.,Not experienced so far. Concerns are taken care by the management.,We keep our request in front of them. We are happy to take their advice.,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20419695.htm
57, 3 May 2018,empReview_20421479,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),"Excellent Company to Learn , Work","Good to Start here, many opportunities to learn NEW Technologies. Well planed and developed courses.",Nothing to mention about the company,No Advice to provide to management,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20421479.htm
58, 3 May 2018,empReview_20424759,Former Employee - Applications Development Analyst,I worked at Accenture full-time (More than a year),"Great Place to work, lot of opportunities",Expanding your network greatly. Benefits of working for a MNC.,Initial compensation is less compared to its competitors,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20424759.htm
59, 3 May 2018,empReview_20416012,Former Employee - Associate Manager,I worked at Accenture full-time (More than 8 years),Best company to work,1. Good work life balance2. Lot of clients so lot of projects,Not hing I can think of,Nothing,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20416012.htm
60, 3 May 2018,empReview_20430036,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 3 years),Good place to work,Enhances learning and professional development,Experience only matters for promotion,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20430036.htm
61, 2 May 2018,empReview_20396274,Former Employee - Procurement Associate,I worked at Accenture full-time (More than a year),Good company,You can quickly Learn the business around the world,Cost cutting and reduced standards,Cost cutting is not the solution for profit,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20396274.htm
62, 3 May 2018,empReview_20413603,Current Employee - Senior Process Associate Technical L2,I have been working at Accenture full-time (More than 8 years),Osum,"Great one, Happy abt app",Keep. It. Up go on,Nothing. Keep. It. Up same.,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20413603.htm
63, 2 May 2018,empReview_20397289,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Good place to work.,It's good place to work with good hike and knowledge.,Late promotion and no flexible work options in some projects,Make improvement in performance appraisal system.,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20397289.htm
64, 2 May 2018,empReview_20398222,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than 5 years),SAP BASIS/HANA Administrator,Very good MNC company and reputation also good.package and benefits are good,Work culture and work balance is not good and senior management also not good .,Management is will give too much pressure for the work to be done and no appreciations (no motivation),4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20398222.htm
65, 2 May 2018,empReview_20412415,Current Employee - Team Lead,I have been working at Accenture full-time (More than a year),Accenture is the place to be!,"State of the art facilities, friendly work environment, flexible work timings, access to cutting edge technologies, options to upskill, best in class hiring salaries","Onsite offerings are dependent on the higher management and the entities, performance appraisal is not actually based in performance",Please take care of the appraisals and reward the employee based on the performance regardless of his no of years in the establishment,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20412415.htm
66, 1 May 2018,empReview_20379468,Current Employee - Senior Business Analyst,I have been working at Accenture full-time (More than a year),Best company for ladies,"policy for ladies are v good , especially the maternity and Returning mothers program",HR and Bench leads are v difficult to reach out.,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20379468.htm
67, 1 May 2018,empReview_20382152,Current Employee - Associate Project Manager,I have been working at Accenture full-time,Associate manager,"Inclusion, Diversity, Plenty of growth, State of art and new gen skills",very few onsite opportunities,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20382152.htm
68, 1 May 2018,empReview_20382909,Current Employee - Technology Support Analyst,I have been working at Accenture full-time (More than 3 years),great place to work,Management is very supporting and spent lot on training.,Not found yet any issue with this company,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20382909.htm
69, 1 May 2018,empReview_20385008,Current Employee - Manager,I have been working at Accenture full-time (More than 8 years),General,Great company to work with,I don't see any cons in this company,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20385008.htm
70, 1 May 2018,empReview_20393403,Former Employee - Applications Development Analyst,I worked at Accenture full-time (More than a year),Good!,Employee based company. Good envoirnment to learn.,"Nothing, I have faced very good envoirnment while working.",None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20393403.htm
71, 2 May 2018,empReview_20394633,Former Employee - Associate Software Engineer,I worked at Accenture full-time (More than a year),Good Experience,Less Stressful. Office is good.,Working environment isn't very good. Leads wants to know everything you do. It was more like a school to me.,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20394633.htm
72, 1 May 2018,empReview_20380628,Current Employee - New Transaction Process Associate,I have been working at Accenture full-time (Less than a year),Accenture is good company and policy is good it's they provide good facility.,Because it's my first job and it is big corporate company.,"My challenge is my first job, in Accenture I learned a lot.",Nothing,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20380628.htm
73, 1 May 2018,empReview_20385714,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Data Analyst,"Work environment is good, Learning & Growth is there,Pay is gud.",Cafeteria & transport services are not great,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20385714.htm
74, 1 May 2018,empReview_20394148,Current Employee - Applications Analyst,I have been working at Accenture full-time (More than 5 years),Application Analyst,+ Good Company.+ Multiple projects.+ Good exposure to Cloud technology,+ Less package+ Less growth+ Minimum appraisals,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20394148.htm
75, 15 May 2018,empReview_20587982,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 5 years),Review,"Decent Salary, good work location","Frequent firings, work life imbalance",None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20587982.htm
76, 15 May 2018,empReview_20588064,Current Employee - CSA - Customer Service Associate,I have been working at Accenture full-time (More than a year),Okay,Good salary hike & company policies.,"long working hours 10HRS and the project I am working for, is not up to Accenture image",None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20588064.htm
77, 15 May 2018,empReview_20602736,Former Employee - Software Engineer,I worked at Accenture full-time (More than 3 years),Need for better HR intervention,"The office is new, clean and stocked with amenities. There is a provision of bus services covering a wide range of routes.",The work ethic needs to be improved. More HR intervention is required to see to it that employees at junior levels are getting the learning opportunities that they want.,Please scrutinize all levels of management and concentrate on performance appraisal equally thoroughly at all levels.,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20602736.htm
78, 30 Apr 2018,empReview_20368511,Former Employee - Reporting Analyst,I worked at Accenture full-time (More than a year),nyc company .,work life is great. Good vibe,lift services are bad.poor cafeteriapoor cabno doctorstoo much trainings,keep it up,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20368511.htm
