,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
51, 5 May 2018,empReview_20445166,Former Employee - Lead Business Analyst,I worked at Accenture full-time (More than 5 years),Lead Business Analyst,Great Company to work for.Great LearningGoodiesOutingsTeam Lunch,Actually none as long as you get a good team,Quite Approachable,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20445166.htm
52, 4 May 2018,empReview_20432243,Former Employee - Processing Associate,I worked at Accenture full-time (Less than a year),It was good,Cab facilities are good and I had good relationship with Manager,Shift timings of 9.5 hrs,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20432243.htm
53, 4 May 2018,empReview_20432511,Current Employee - Senior Analyst,I have been working at Accenture (More than a year),Good Company,work life balance is good,career opportunities depend on project,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20432511.htm
54, 4 May 2018,empReview_20437376,Former Employee - Test Engineering Analyst,I worked at Accenture full-time (More than 3 years),Good Organisation,Good Work Culture and Work Life Balance,"Politics at Managers Level, Favourism for opportunities.",None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20437376.htm
55, 3 May 2018,empReview_20419695,Current Employee - Customer Relations Associate,I have been working at Accenture full-time (More than 8 years),Accenture is like a Banyan tree where people get shade,Respect honest Helping tendency and secured place to work.,Not experienced so far. Concerns are taken care by the management.,We keep our request in front of them. We are happy to take their advice.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20419695.htm
56, 3 May 2018,empReview_20421479,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),"Excellent Company to Learn , Work","Good to Start here, many opportunities to learn NEW Technologies. Well planed and developed courses.",Nothing to mention about the company,No Advice to provide to management,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20421479.htm
57, 3 May 2018,empReview_20424759,Former Employee - Applications Development Analyst,I worked at Accenture full-time (More than a year),"Great Place to work, lot of opportunities",Expanding your network greatly. Benefits of working for a MNC.,Initial compensation is less compared to its competitors,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20424759.htm
58, 3 May 2018,empReview_20416012,Former Employee - Associate Manager,I worked at Accenture full-time (More than 8 years),Best company to work,1. Good work life balance2. Lot of clients so lot of projects,Not hing I can think of,Nothing,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20416012.htm
59, 3 May 2018,empReview_20430036,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 3 years),Good place to work,Enhances learning and professional development,Experience only matters for promotion,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20430036.htm
60, 2 May 2018,empReview_20396274,Former Employee - Procurement Associate,I worked at Accenture full-time (More than a year),Good company,You can quickly Learn the business around the world,Cost cutting and reduced standards,Cost cutting is not the solution for profit,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20396274.htm
61, 3 May 2018,empReview_20413603,Current Employee - Senior Process Associate Technical L2,I have been working at Accenture full-time (More than 8 years),Osum,"Great one, Happy abt app",Keep. It. Up go on,Nothing. Keep. It. Up same.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20413603.htm
62, 2 May 2018,empReview_20397289,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Good place to work.,It's good place to work with good hike and knowledge.,Late promotion and no flexible work options in some projects,Make improvement in performance appraisal system.,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20397289.htm
63, 2 May 2018,empReview_20398222,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than 5 years),SAP BASIS/HANA Administrator,Very good MNC company and reputation also good.package and benefits are good,Work culture and work balance is not good and senior management also not good .,Management is will give too much pressure for the work to be done and no appreciations (no motivation),4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20398222.htm
64, 2 May 2018,empReview_20412415,Current Employee - Team Lead,I have been working at Accenture full-time (More than a year),Accenture is the place to be!,"State of the art facilities, friendly work environment, flexible work timings, access to cutting edge technologies, options to upskill, best in class hiring salaries","Onsite offerings are dependent on the higher management and the entities, performance appraisal is not actually based in performance",Please take care of the appraisals and reward the employee based on the performance regardless of his no of years in the establishment,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20412415.htm
65, 1 May 2018,empReview_20379468,Current Employee - Senior Business Analyst,I have been working at Accenture full-time (More than a year),Best company for ladies,"policy for ladies are v good , especially the maternity and Returning mothers program",HR and Bench leads are v difficult to reach out.,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20379468.htm
66, 1 May 2018,empReview_20382152,Current Employee - Associate Project Manager,I have been working at Accenture full-time,Associate manager,"Inclusion, Diversity, Plenty of growth, State of art and new gen skills",very few onsite opportunities,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20382152.htm
67, 1 May 2018,empReview_20382909,Current Employee - Technology Support Analyst,I have been working at Accenture full-time (More than 3 years),great place to work,Management is very supporting and spent lot on training.,Not found yet any issue with this company,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20382909.htm
68, 1 May 2018,empReview_20385008,Current Employee - Manager,I have been working at Accenture full-time (More than 8 years),General,Great company to work with,I don't see any cons in this company,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20385008.htm
69, 1 May 2018,empReview_20393403,Former Employee - Applications Development Analyst,I worked at Accenture full-time (More than a year),Good!,Employee based company. Good envoirnment to learn.,"Nothing, I have faced very good envoirnment while working.",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20393403.htm
